Neighbourhood,F2020_Population_Projection,Assault_2020,Assault_Rate2020,AutoTheft_2020,AutoTheft_Rate2020,BreakAndEnter_2020,BreakAndEnter_Rate2020,Robbery_2020,Robbery_Rate2020,TheftOver_2020,TheftOver_Rate2020,Homicide_2020,Homicide_Rate2020,Shootings_2020,Shootings_Rate2020
South Parkdale,24212,237,978.8535,16,66.08293,88,363.4561,16,66.08293,12,49.5622,0,0,4,16.52073
South Riverdale,30225,212,701.4061,38,125.7237,142,469.8098,35,115.7982,24,79.40446,0,0,3,9.925558
St.Andrew-Windfields,20070,50,249.1281,31,154.4594,50,249.1281,8,39.86049,4,19.93024,0,0,1,4.982561
Taylor-Massey,16651,114,684.6436,14,84.07903,32,192.1806,26,156.1468,8,48.04516,0,0,3,18.01694
Humber Summit,13458,100,743.0524,110,817.3577,26,193.1936,25,185.7631,22,163.4715,0,0,5,37.15262
Humbermede,16794,83,494.2241,74,440.6335,33,196.4987,14,83.36311,10,59.54507,0,0,6,35.72705
Centennial Scarborough,14672,46,313.5224,10,68.15704,8,54.52563,3,20.44711,1,6.815703,0,0,1,6.815703
Church-Yonge Corridor,39279,761,1937.422,30,76.37669,241,613.5594,138,351.3328,44,112.0191,0,0,2,5.091779
Clairlea-Birchmount,29302,184,627.9435,49,167.2241,60,204.7642,30,102.3821,6,20.47642,1,3.412736,2,6.825473
Cliffcrest,17715,111,626.5876,19,107.2537,36,203.2176,23,129.8335,9,50.8044,0,0,2,11.28987
Flemingdon Park,23505,124,527.5473,15,63.81621,11,46.79855,5,21.27207,2,8.508828,0,0,13,55.30738
Corso Italia-Davenport,15139,89,587.8856,14,92.47639,41,270.8237,12,79.26547,6,39.63274,1,6.605456,4,26.42182
Ionview,14407,86,596.9321,6,41.64642,15,104.1161,2,13.88214,0,0,0,0,1,6.94107
Junction Area,15623,100,640.0819,36,230.4295,50,320.041,13,83.21065,6,38.40491,0,0,0,0
Broadview North,12372,62,501.1316,7,56.57937,25,202.0692,3,24.2483,6,48.4966,0,0,0,0
Princess-Rosethorn,12291,24,195.2648,20,162.7207,12,97.63242,9,73.22431,4,32.54414,0,0,1,8.136035
North Riverdale,12585,31,246.325,13,103.2976,34,270.1629,14,111.2435,2,15.89193,0,0,0,0
Etobicoke West Mall,13072,63,481.9461,10,76.49939,13,99.4492,10,76.49939,7,53.54957,1,7.649939,6,45.89963
Forest Hill North,13588,41,301.7368,40,294.3774,45,331.1746,16,117.751,7,51.51604,0,0,0,0
Glenfield-Jane Heights,33031,279,844.6611,124,375.4049,49,148.3455,49,148.3455,19,57.52172,1,3.027459,34,102.9336
Greenwood-Coxwell,15470,114,736.9102,29,187.4596,41,265.0291,21,135.7466,4,25.8565,2,12.92825,3,19.39237
Guildwood,10679,35,327.746,11,103.0059,3,28.09252,3,28.09252,1,9.364173,0,0,1,9.364173
Trinity-Bellwoods,18270,105,574.7126,13,71.1549,86,470.717,20,109.4691,8,43.78763,2,10.94691,1,5.473454
Victoria Village,19005,113,594.5804,16,84.18837,34,178.9003,11,57.87951,5,26.30887,0,0,4,21.04709
Waterfront Communities-The Island,87808,757,862.1082,67,76.30284,351,399.7358,83,94.52441,56,63.77551,3,3.416545,9,10.24964
West Hill,29669,336,1132.495,54,182.0082,57,192.1197,36,121.3388,9,30.33469,2,6.741043,7,23.59365
West Humber-Clairville,37133,248,667.8696,396,1066.437,107,288.1534,75,201.9767,56,150.8092,3,8.079067,7,18.85116
Westminster-Branson,28248,91,322.1467,48,169.9235,15,53.1011,17,60.18125,6,21.24044,0,0,1,3.540074
Kennedy Park,18407,175,950.7253,31,168.4142,32,173.8469,25,135.8179,9,48.89444,0,0,1,5.432716
Kingsview Village-The Westway,23318,98,420.2762,58,248.7349,13,55.75092,7,30.01973,7,30.01973,0,0,2,8.577065
Bayview Woods-Steeles,14020,33,235.378,15,106.99,33,235.378,1,7.132668,2,14.26534,0,0,1,7.132668
Clanton Park,18742,82,437.52,44,234.7668,33,176.0751,16,85.36976,5,26.67805,0,0,3,16.00683
Keelesdale-Eglinton West,12050,80,663.9004,22,182.5726,23,190.8714,11,91.28631,3,24.89627,0,0,3,24.89627
O'Connor-Parkview,20156,118,585.4336,20,99.22604,25,124.0325,19,94.26473,10,49.61302,0,0,4,19.84521
Old East York,9817,29,295.4059,8,81.49129,15,152.7962,5,50.93206,4,40.74564,0,0,1,10.18641
Casa Loma,12334,61,494.5679,18,145.9381,36,291.8761,3,24.32301,6,48.64602,0,0,0,0
Kensington-Chinatown,21196,423,1995.66,56,264.2008,175,825.6275,38,179.2791,27,127.3825,0,0,6,28.30723
Kingsway South,10327,12,116.2002,18,174.3004,21,203.3504,4,38.73342,3,29.05006,0,0,0,0
Runnymede-Bloor West Village,10792,34,315.0482,17,157.5241,30,277.9837,7,64.86286,3,27.79837,0,0,0,0
Forest Hill South,12450,25,200.8032,37,297.1888,33,265.0602,5,40.16064,6,48.19277,0,0,0,0
Henry Farm,22545,84,372.5882,21,93.14704,33,146.3739,6,26.61344,6,26.61344,0,0,3,13.30672
Annex,34680,275,792.9642,37,106.6897,203,585.3518,44,126.8743,33,95.15571,0,0,0,0
Caledonia-Fairbank,10729,50,466.0266,8,74.56426,10,93.20533,8,74.56426,2,18.64107,0,0,2,18.64107
Humber Heights-Westmount,12325,23,186.6126,23,186.6126,9,73.02232,2,16.22718,1,8.11359,0,0,0,0
Roncesvalles,16073,120,746.5937,15,93.32421,68,423.0697,24,149.3187,4,24.88646,0,0,1,6.221614
University,8433,86,1019.803,7,83.00723,60,711.4906,13,154.1563,5,59.29088,0,0,0,0
Hillcrest Village,18349,47,256.1447,25,136.2472,18,98.09799,14,76.29844,8,43.59911,0,0,0,0
Mount Dennis,14703,71,482.8947,24,163.232,22,149.6293,19,129.2253,3,20.404,1,6.801333,1,6.801333
Dorset Park,27051,129,476.877,71,262.4672,71,262.4672,24,88.72131,5,18.4836,0,0,7,25.87705
Edenbridge-Humber Valley,17619,32,181.6221,37,210.0006,23,130.5409,8,45.40553,1,5.675691,0,0,1,5.675691
Dovercourt-Wallace Emerson-Junction,40355,256,634.37,63,156.1145,155,384.0912,39,96.6423,12,29.73609,0,0,5,12.39004
Newtonbrook West,26115,181,693.0883,61,233.5822,32,122.5349,23,88.07199,10,38.29217,0,0,5,19.14608
Niagara,37931,178,469.2732,27,71.18188,108,284.7275,21,55.36369,11,29.00003,1,2.636366,3,7.909098
Beechborough-Greenbrook,7130,52,729.3127,14,196.3534,7,98.17672,4,56.10098,3,42.07574,0,0,0,0
High Park North,24557,84,342.0613,18,73.29886,32,130.3091,18,73.29886,3,12.21648,0,0,0,0
High Park-Swansea,26494,74,279.3085,40,150.9776,49,184.9475,10,37.7444,8,30.19552,0,0,2,7.548879
Highland Creek,13943,33,236.6779,16,114.7529,14,100.4088,2,14.34412,2,14.34412,0,0,1,7.172058
North St.James Town,20595,232,1126.487,27,131.0998,60,291.3329,39,189.3663,9,43.69993,0,0,0,0
Oakridge,15735,157,997.7756,21,133.4604,36,228.7893,28,177.9473,5,31.77629,1,6.355259,8,50.84207
Rosedale-Moore Park,23693,147,620.4364,50,211.0328,99,417.8449,22,92.85443,10,42.20656,0,0,1,4.220656
Oakwood Village,22588,114,504.6927,25,110.6782,32,141.6681,23,101.824,3,13.28139,2,8.854259,7,30.98991
Wexford/Maryvale,29864,174,582.6413,93,311.4117,80,267.8811,29,97.10689,13,43.53067,1,3.348513,2,6.697027
Eglinton East,24885,153,614.8282,32,128.5915,23,92.42516,23,92.42516,8,32.14788,2,8.03697,11,44.20333
Elms-Old Rexdale,10045,48,477.8497,40,398.2081,14,139.3728,7,69.68641,2,19.9104,0,0,0,0
Agincourt North,31618,69,218.2301,58,183.4398,17,53.76684,17,53.76684,5,15.81378,0,0,2,6.325511
Agincourt South-Malvern West,27406,132,481.6464,63,229.8767,82,299.2046,18,65.67905,8,29.19069,2,7.297672,1,3.648836
Englemount-Lawrence,25089,103,410.5385,30,119.5743,34,135.5176,24,95.65945,8,31.88648,1,3.985811,11,43.84391
Eringate-Centennial-West Deane,19924,42,210.801,50,250.9536,12,60.22887,19,95.36237,4,20.07629,0,0,4,20.07629
L'Amoreaux,48519,193,397.7823,33,68.0146,48,98.93031,28,57.70935,6,12.36629,2,4.122097,9,18.54943
Banbury-Don Mills,31186,83,266.1451,49,157.1218,41,131.4693,7,22.44597,8,25.65254,0,0,2,6.413134
Bathurst Manor,17628,58,329.022,46,260.9485,27,153.1654,8,45.38235,7,39.70955,0,0,0,0
Alderwood,13242,37,279.414,28,211.4484,43,324.7244,12,90.62075,5,37.75865,0,0,0,0
Regent Park,13131,148,1127.104,10,76.15566,28,213.2359,17,129.4646,5,38.07783,1,7.615566,7,53.30896
Bendale,32770,216,659.1395,57,173.9396,31,94.59872,22,67.13457,7,21.361,1,3.051572,9,27.46414
Birchcliffe-Cliffside,24182,142,587.2136,21,86.84145,46,190.2241,20,82.70615,5,20.67654,0,0,0,0
Weston-Pellam Park,12074,99,819.9437,17,140.7984,29,240.1855,3,24.84678,3,24.84678,0,0,4,33.12904
Downsview-Roding-CFB,38981,357,915.8308,153,392.4989,88,225.751,55,141.0944,23,59.00311,2,5.130705,10,25.65352
Lambton Baby Point,8433,31,367.6035,11,130.4399,13,154.1563,1,11.85818,2,23.71635,0,0,0,0
Bay Street Corridor,32790,516,1573.651,25,76.24276,227,692.2842,82,250.0762,43,131.1375,1,3.04971,5,15.24855
Black Creek,23206,281,1210.894,81,349.0477,26,112.04,25,107.7308,16,68.94769,3,12.92769,18,77.56615
Willowdale East,57856,138,238.5232,73,126.1753,76,131.3606,39,67.40874,17,29.3833,1,1.728429,3,5.185287
Willowdale West,19571,83,424.0969,43,219.7128,23,117.5208,25,127.74,9,45.98641,0,0,1,5.109601
Rouge,50790,150,295.3337,63,124.0402,38,74.81788,40,78.75566,9,17.72002,1,1.968892,5,9.844458
Mount Olive-Silverstone-Jamestown,35772,203,567.483,85,237.616,17,47.5232,28,78.27351,8,22.36386,2,5.590965,16,44.72772
Cabbagetown-South St.James Town,12655,140,1106.282,13,102.7262,71,561.0431,16,126.4322,3,23.70605,1,7.902015,1,7.902015
Mount Pleasant East,17972,41,228.1326,19,105.72,37,205.8758,16,89.02737,4,22.25684,0,0,0,0
Mount Pleasant West,36333,152,418.3524,24,66.05565,158,434.8664,18,49.54174,10,27.52319,2,5.504638,0,0
Blake-Jones,8287,56,675.7572,7,84.46965,28,337.8786,4,48.26837,5,60.33546,0,0,2,24.13419
Rexdale-Kipling,11095,48,432.6273,45,405.5881,18,162.2352,13,117.1699,1,9.013069,0,0,1,9.013069
East End-Danforth,23112,147,636.0332,26,112.4957,62,268.2589,27,116.8224,5,21.63378,0,0,2,8.653513
New Toronto,12539,87,693.8352,20,159.5023,41,326.9798,11,87.7263,5,39.87559,0,0,4,31.90047
Palmerston-Little Italy,14992,51,340.1814,16,106.7236,48,320.1707,6,40.02134,4,26.6809,1,6.670224,0,0
Parkwoods-Donalda,38257,150,392.0851,44,115.0116,48,125.4672,9,23.52511,2,5.227801,1,2.613901,6,15.6834
Pelmo Park-Humberlea,12278,55,447.9557,57,464.245,20,162.893,7,57.01254,10,81.44649,0,0,6,48.86789
Playter Estates-Danforth,8257,77,932.5421,7,84.77655,50,605.5468,8,96.88749,7,84.77655,0,0,1,12.11094
Willowridge-Martingrove-Richview,24158,96,397.3839,69,285.6197,19,78.6489,13,53.8124,4,16.55766,0,0,7,28.97591
Woburn,58109,348,598.8745,96,165.2068,65,111.8587,55,94.64971,14,24.09265,2,3.441808,15,25.81356
Woodbine-Lumsden,8309,31,373.0894,4,48.14057,12,144.4217,6,72.21085,1,12.03514,0,0,0,0
Bayview Village,24799,69,278.237,28,112.9078,30,120.9726,18,72.58357,12,48.38905,1,4.032421,1,4.032421
Bedford Park-Nortown,26015,51,196.0407,79,303.671,64,246.0119,17,65.34692,9,34.59542,0,0,0,0
Rockcliffe-Smythe,23751,128,538.9247,61,256.8313,36,151.5726,13,54.73454,4,16.8414,2,8.420698,5,21.05174
Bridle Path-Sunnybrook-York Mills,10942,45,411.2594,16,146.2256,30,274.1729,8,73.11278,6,54.83458,0,0,3,27.41729
Don Valley Village,29406,96,326.464,34,115.6227,30,102.02,23,78.21533,6,20.404,2,6.801333,0,0
Weston,20037,204,1018.116,78,389.2798,24,119.7784,27,134.7507,10,49.90767,3,14.9723,5,24.95383
Lawrence Park South,16585,28,168.8273,30,180.8863,58,349.7136,12,72.35454,12,72.35454,0,0,0,0
Brookhaven-Amesbury,18892,88,465.8056,54,285.8353,33,174.6771,16,84.69193,9,47.63921,0,0,0,0
Long Branch,11564,67,579.3843,23,198.8931,34,294.0159,16,138.3604,4,34.59011,0,0,0,0
Malvern,47548,231,485.8249,63,132.4977,25,52.57845,24,50.47531,6,12.61883,1,2.103138,15,31.54707
Dufferin Grove,12858,79,614.4035,18,139.9907,56,435.5265,19,147.7679,4,31.10904,1,7.777259,3,23.33178
Maple Leaf,10947,30,274.0477,17,155.2937,11,100.4842,2,18.26985,2,18.26985,0,0,1,9.134923
Markland Wood,11146,42,376.8168,28,251.2112,12,107.6619,16,143.5493,7,62.8028,0,0,0,0
Steeles,26911,42,156.07,28,104.0467,25,92.89881,6,22.29572,1,3.715953,0,0,2,7.431905
Lawrence Park North,15751,43,272.9985,23,146.0225,19,120.6273,12,76.18564,1,6.348803,0,0,0,0
Yonge-Eglinton,13183,90,682.6974,18,136.5395,34,257.9079,10,75.85527,7,53.09869,0,0,1,7.585527
Morningside,18859,104,551.4608,31,164.3777,18,95.44514,7,37.11756,2,10.60502,1,5.3025080000000004,7,37.11756
Moss Park,23905,756,3162.518,40,167.329,201,840.8283,130,543.8193,16,66.9316,2,8.36645,5,20.91613
Little Portugal,17741,80,450.9329,27,152.1898,54,304.3797,9,50.72995,6,33.81997,0,0,0,0
Woodbine Corridor,13484,68,504.3014,11,81.57816,34,252.1507,7,51.91338,4,29.66479,0,0,0,0
Newtonbrook East,17742,55,309.9989,37,208.5447,38,214.181,15,84.54515,10,56.36343,0,0,1,5.636343
Milliken,29166,86,294.8639,70,240.0055,60,205.719,34,116.5741,12,41.1438,0,0,1,3.42865
Pleasant View,16856,41,243.2368,29,172.0456,19,112.7195,10,59.32606,6,35.59563,1,5.932606,2,11.86521
Wychwood,16037,85,530.0243,26,162.1251,45,280.6011,19,118.476,1,6.23558,1,6.23558,2,12.47116
Leaside-Bennington,18627,29,155.688,42,225.4791,39,209.3735,7,37.57986,7,37.57986,0,0,0,0
Briar Hill-Belgravia,15448,86,556.7064,37,239.5132,46,297.7732,10,64.7333,8,51.78664,0,0,1,6.47333
Mimico (includes Humber Bay Shores),38739,286,738.2741,52,134.2317,53,136.813,11,28.39516,19,49.04618,1,2.581378,2,5.162756
