Neighbourhood,F2020_Population_Projection,Assault_2020,Assault_Rate2020,AutoTheft_2020,AutoTheft_Rate2020,BreakAndEnter_2020,BreakAndEnter_Rate2020,Robbery_2020,Robbery_Rate2020,TheftOver_2020,TheftOver_Rate2020,Homicide_2020,Homicide_Rate2020,Shootings_2020,Shootings_Rate2020
Yonge-St.Clair,14083,23,163.3175,9,63.90684,26,184.6198,5,35.5038,3,21.30228,0,0,0,0
York University Heights,30277,341,1126.267,184,607.722,105,346.7979,47,155.2334,43,142.022,1,3.302837,12,39.63404
Lansing-Westgate,18146,97,534.553,44,242.4777,39,214.9234,11,60.61942,9,49.59771,0,0,1,5.510856
Yorkdale-Glen Park,17560,156,888.3827,87,495.4442,81,461.2756,40,227.7904,18,102.5057,1,5.694761,14,79.72665
Stonegate-Queensway,27410,104,379.4236,45,164.1737,35,127.6906,20,72.96607,5,18.24152,0,0,0,0
Tam O'Shanter-Sullivan,29970,131,437.1038,37,123.4568,54,180.1802,18,60.06006,2,6.67334,1,3.33667,2,6.67334
The Beaches,23364,84,359.5275,23,98.44205,66,282.4859,6,25.68053,10,42.80089,0,0,0,0
Thistletown-Beaumond Heights,10948,56,511.5089,43,392.7658,10,91.34088,9,82.20679,5,45.67044,0,0,1,9.134089
Thorncliffe Park,23518,94,399.6938,20,85.04124,41,174.3345,5,21.26031,3,12.75619,2,8.504125,9,38.26856
Danforth East York,18427,56,303.9019,16,86.82911,33,179.085,9,48.84137,5,27.1341,1,5.426819,0,0
Humewood-Cedarvale,15854,42,264.9174,23,145.0738,49,309.0703,6,37.84534,6,37.84534,0,0,0,0
Islington-City Centre West,51481,222,431.2271,150,291.3696,99,192.304,35,67.98624,29,56.33146,0,0,4,7.769857
Danforth,10353,65,627.8373,7,67.61325,40,386.3615,19,183.5217,2,19.31807,0,0,0,0
Rustic,10756,60,557.8282,21,195.2399,14,130.1599,8,74.37709,5,46.48568,0,0,6,55.78282
Scarborough Village,18116,178,982.5569,23,126.9596,28,154.5595,17,93.8397,7,38.63988,1,5.519982,2,11.03996
