Neighbourhood,F2020_Population_Projection,Assault_2019,Assault_Rate2019,AutoTheft_2019,AutoTheft_Rate2019,BreakAndEnter_2019,BreakAndEnter_Rate2019,Robbery_2019,Robbery_Rate2019,TheftOver_2019,TheftOver_Rate2019,Homicide_2019,Homicide_Rate2019,Shootings_2019,Shootings_Rate2019
Bedford Park-Nortown,26015,57,223.6785,63,247.2236,90,353.1766,14,54.93859,18,70.63532,0,0,3,11.77255
Rockcliffe-Smythe,23751,148,628.637,38,161.4068,43,182.6445,9,38.22792,9,38.22792,1,4.247547,6,25.48528
Bridle Path-Sunnybrook-York Mills,10942,43,406.5041,11,103.9894,53,501.0399,13,122.8966,3,28.36075,0,0,3,28.36075
Don Valley Village,29406,143,492.7296,22,75.80457,32,110.2612,34,117.1525,14,48.23927,0,0,3,10.33699
Weston,20037,193,981.7386,47,239.0762,58,295.0303,26,132.2549,4,20.34691,2,10.17346,15,76.30093
Lawrence Park South,16585,26,159.0895,27,165.2083,57,348.7732,15,91.78242,8,48.95062,0,0,0,0
Brookhaven-Amesbury,18892,100,533.4471,36,192.041,50,266.7236,19,101.355,12,64.01366,0,0,7,37.3413
Long Branch,11564,61,540.876,11,97.53503,29,257.1378,30,266.0046,2,17.73364,0,0,0,0
Malvern,47548,333,708.9783,76,161.8089,44,93.67881,43,91.54974,9,19.16158,1,2.129064,13,27.67783
Dufferin Grove,12858,80,628.9308,4,31.44654,44,345.912,29,227.9874,7,55.03145,1,7.861635,0,0
Maple Leaf,10947,28,258.9955,25,231.246,15,138.7476,4,36.99935,3,27.74951,0,0,0,0
Markland Wood,11146,16,144.6524,9,81.36697,25,226.0193,13,117.5301,3,27.12232,0,0,2,18.08155
Steeles,26911,47,177.1913,31,116.8709,66,248.8219,8,30.16023,5,18.85014,0,0,0,0
Lawrence Park North,15751,38,243.9807,18,115.5698,23,147.6725,7,44.94382,4,25.68218,0,0,0,0
Yonge-Eglinton,13183,92,710.6442,12,92.69273,41,316.7001,12,92.69273,9,69.51955,1,7.724394,1,7.724394
Morningside,18859,181,970.0933,8,42.87705,17,91.11373,17,91.11373,4,21.43852,1,5.359631,2,10.71926
Moss Park,23905,640,2750.795,43,184.819,235,1010.058,139,597.4383,25,107.4529,3,12.89435,3,12.89435
Little Portugal,17741,84,483.2863,11,63.2875,58,333.6977,9,51.78068,9,51.78068,0,0,2,11.50682
Woodbine Corridor,13484,89,666.6168,8,59.9206,33,247.1725,10,74.90076,4,29.9603,0,0,2,14.98015
Newtonbrook East,17742,81,463.9175,27,154.6392,53,303.551,11,63.00114,10,57.27377,0,0,0,0
Milliken,29166,101,351.4021,86,299.2137,132,459.2582,39,135.6899,23,80.02227,1,3.479229,1,3.479229
Pleasant View,16856,51,304.8963,24,143.4806,12,71.7403,17,101.6321,4,23.91343,0,0,0,0
Wychwood,16037,69,438.6523,9,57.21551,49,311.5067,11,69.93007,0,0,1,6.357279,1,6.357279
Leaside-Bennington,18627,32,174.959,31,169.4915,45,246.0361,2,10.93494,7,38.27228,0,0,0,0
Briar Hill-Belgravia,15448,81,530.2783,21,137.4795,49,320.7856,30,196.3993,6,39.27987,0,0,2,13.09329
Mimico (includes Humber Bay Shores),38739,324,856.2594,62,163.8521,80,211.4221,17,44.92719,19,50.21274,1,2.642776,3,7.928328
